469	470	-14.250	9.550, 5.750, 0.000, 29.950, 11.750, 14.992, 3.000
557	584	0.200	7.656, 14.709, 0.000, 7.441, 1.167, 12.472, 2.333
76	78	21.800	65.622, 4.800, 0.000, 8.930, 1.800, 7.922, 0.000
537	545	2.455	12.197, 11.558, 0.273, 15.945, 1.182, 12.729, 2.727
267	270	5.500	27.535, 9.023, 0.000, 10.425, 0.000, 20.268, 0.000
495	503	3.455	12.422, 9.273, 0.000, 5.436, 1.636, 11.727, 0.545
330	331	4.750	23.758, 10.500, 4.500, 10.188, 2.250, 15.015, 0.000
251	254	16.667	52.470, 0.667, 0.000, 4.683, 0.000, 6.167, 1.000
412	413	-11.000	5.015, 9.402, 0.000, 23.275, 1.750, 17.000, 1.500
532	536	0.714	15.131, 19.376, 0.429, 11.057, 1.714, 27.409, 2.143
176	182	3.333	14.300, 4.220, 0.000, 7.156, 0.889, 7.111, 0.333
514	514	20.333	55.410, 5.983, 0.000, 4.517, 0.667, 5.750, 2.000
311	313	5.200	22.112, 3.400, 0.000, 6.260, 2.600, 6.474, 2.400
508	513	6.750	24.281, 12.156, 0.709, 6.287, 0.625, 12.911, 1.125
360	363	-1.500	9.568, 8.333, 0.000, 7.442, 2.000, 29.673, 0.500
415	419	0.286	5.506, 14.571, 0.000, 5.650, 0.571, 21.144, 1.143
526	530	-0.286	7.074, 27.429, 0.397, 5.821, 2.571, 31.266, 0.857
370	372	-0.600	5.904, 9.200, 0.600, 7.080, 3.600, 9.400, 1.800
320	322	16.000	47.766, 5.028, 0.000, 7.060, 1.200, 11.650, 1.200
197	199	7.800	25.862, 15.400, 0.000, 5.730, 0.600, 9.404, 0.600
292	294	2.200	9.180, 5.000, 0.600, 5.640, 0.400, 6.800, 1.600
304	306	10.000	26.428, 10.400, 0.000, 4.440, 0.000, 4.800, 0.000
323	323	19.000	61.943, 4.713, 0.000, 9.067, 0.000, 9.417, 2.000
85	87	9.200	26.412, 3.800, 0.000, 2.710, 0.000, 4.600, 0.600
531	531	-5.333	10.000, 37.000, 0.927, 13.400, 3.333, 48.287, 2.000
